AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
669.6903030884282,672.2743051887094,620.1005121636015,629.3995666475031,627.1913429086246,1.6418728602778848e-11,4.510561383708789e-12,0.9629989261603055,0.009212166488045239,0.02778890733072009,IM
642.5976658254235,646.5974967562715,593.215341525582,603.1220400327072,593.9399304415298,1.1104906798430894e-11,1.5030127580578564e-12,0.5871517929928031,0.004145129887178556,0.4087030771074104,IM
706.0159118219892,675.0408995332721,651.2036080130385,657.4945191155006,691.9283222595152,1.2004737689268359e-12,6.389856893219393e-06,0.9587231564922543,0.0412704522742367,1.3754153917313154e-09,IM
596.4157935146585,600.4157754712498,563.1009946992958,562.4433247156379,565.037418649019,2.1059261149582217e-08,2.8500867849568047e-09,0.3611268467637787,0.501731072763588,0.13714205656328543,IM2N
721.0559830485223,661.540105750541,654.2500556176196,658.6606701346692,655.9512889730373,1.991509542976606e-15,0.016706710224079407,0.6395952247928478,0.07049404629104762,0.273204018692023,IM
658.4732717966199,589.8025706995809,609.1971371761989,620.0079891114647,608.0700773661159,1.2253863412829926e-15,0.999830342916054,6.14397886061216e-05,2.759961619182555e-07,0.00010794129917678002,SI2N
802.4013302048708,798.2518112906985,723.2654711523977,730.5068582061864,685.6361111067737,4.4132124097972946e-26,3.5140781388748947e-25,6.743545378752901e-09,1.8048497969029573e-10,0.9999999930759695,IM2m
649.7317979206174,653.7309566851886,598.1386947638663,603.9759675812115,642.2467414810142,5.94095668956992e-12,8.043593129117808e-13,0.9487600491899094,0.05123995055260967,2.507354499552425e-10,IM
635.384978306296,638.7312690588085,596.2430859493762,601.6776863486718,604.2479402101644,2.9193553701905836e-09,5.478342244204161e-10,0.9222335032104998,0.06091614517112282,0.016850348151187904,IM
653.983144383656,657.9823679210506,607.1512141557548,614.927990689522,637.6636311056382,6.633942104478311e-11,8.981550579152578e-12,0.9799323938268715,0.02006737408660284,2.3201120465263632e-07,IM
