,MIG12$,MIG21$,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,2.09946e-10,5.32619e-11,2064489,89521,2.6675628,2.6895936,-27441.527,-27433.198,20000,scaled,nomig,linkedancestor,5percent,39
0,4.69756e-10,8.97272e-11,1841917,278653,0.8884476,0.8468996,-27451.526,-27443.563,20000,scaled,nomig,linkedancestor,5percent,40
0,1.33899e-10,2.49849e-10,1914663,117353,2.0513659,1.9983201,-27425.319,-27419.044,20000,scaled,nomig,linkedancestor,5percent,41
0,1.46455e-10,1.07582e-10,2047870,64665,3.8626968,3.7885065,-27523.005,-27513.323,20000,scaled,nomig,linkedancestor,5percent,42
0,3.56253e-10,2.31391e-11,1897001,253319,0.9453148,0.9524065,-27469.676,-27458.826,20000,scaled,nomig,linkedancestor,5percent,43
0,1.41639e-10,1.35492e-10,2070802,74873,3.1095139,3.3457449,-27400.135,-27391.499,20000,scaled,nomig,linkedancestor,5percent,44
0,2.12372e-10,2.198e-11,2045652,76193,3.2244071,3.1677458,-27474.501,-27466.408,20000,scaled,nomig,linkedancestor,5percent,45
0,4.34857e-10,7.67319e-11,2033138,112821,2.1772237,2.1459026,-27480.29,-27471.822,20000,scaled,nomig,linkedancestor,5percent,46
0,3.09974e-10,3.47121e-10,2002692,70489,3.4232074,3.3733093,-27485.193,-27478.045,20000,scaled,nomig,linkedancestor,5percent,47
0,6.90527e-11,8.81383e-12,1592090,574866,0.4177699,0.4099929,-27448.77,-27439.969,20000,scaled,nomig,linkedancestor,5percent,48
0,4.02426e-10,4.95301e-11,2031431,119165,1.9875642,2.0194658,-27363.486,-27353.615,20000,scaled,nomig,linkedancestor,5percent,49
0,9.13125e-11,1.29336e-10,2084345,66767,3.5826967,3.561626,-27346.875,-27340.896,20000,scaled,nomig,linkedancestor,5percent,50
0,3.65962e-10,4.85857e-11,2047714,70772,3.4793927,3.5468716,-27570.355,-27562.708,20000,scaled,nomig,linkedancestor,5percent,51
0,3.14411e-10,4.30631e-10,1901129,96007,2.589576,2.5124489,-27475.856,-27464.82,20000,scaled,nomig,linkedancestor,5percent,52
0,2.0798e-10,1.80037e-10,1914250,73783,3.2442799,3.2661964,-27346.004,-27337.688,20000,scaled,nomig,linkedancestor,5percent,53
0,2.84546e-10,9.9071e-11,1815069,255344,0.9078979,0.9561441,-27351.813,-27340.875,20000,scaled,nomig,linkedancestor,5percent,54
0,1.09967e-10,4.71123e-11,2011853,62700,3.8690557,3.8102867,-27477.873,-27468.729,20000,scaled,nomig,linkedancestor,5percent,55
0,1.31811e-11,9.58227e-12,2092017,69852,3.3099195,3.4693974,-27422.4,-27414.458,20000,scaled,nomig,linkedancestor,5percent,56
0,2.52617e-10,1.3573e-10,1947991,106413,2.2431435,2.295321,-27435.59,-27426.368,20000,scaled,nomig,linkedancestor,5percent,57
0,2.59867e-10,8.83599e-11,2065422,84741,2.7748861,2.8327068,-27365.54,-27355.439,20000,scaled,nomig,linkedancestor,5percent,58
0,2.38567e-10,6.13212e-11,1915931,181588,1.3729259,1.3564871,-27542.882,-27530.114,20000,scaled,nomig,linkedancestor,5percent,59
0,1.82708e-10,8.32203e-11,2062473,76568,3.1714856,3.0807452,-27445.431,-27439.362,20000,scaled,nomig,linkedancestor,5percent,60
0,1.23822e-10,4.42242e-10,2017941,71585,3.4648299,3.3918957,-27514.086,-27505.603,20000,scaled,nomig,linkedancestor,5percent,61
0,1.3111e-10,2.12909e-11,2124738,67465,3.4922617,3.5378125,-27340.224,-27333.529,20000,scaled,nomig,linkedancestor,5percent,62
0,1.52562e-10,6.1687e-12,1668233,535152,0.4567403,0.4263398,-27267.596,-27254.566,20000,scaled,nomig,linkedancestor,5percent,63
0,5.73178e-11,1.69502e-11,2052373,102084,2.3022053,2.3978933,-27476.863,-27470.896,20000,scaled,nomig,linkedancestor,5percent,64
0,1.09109e-10,3.53891e-11,2071141,62322,3.8308687,3.8386156,-27495.775,-27486.076,20000,scaled,nomig,linkedancestor,5percent,65
0,1.66607e-10,2.24629e-10,2027330,66534,3.7431112,3.6211022,-27488.809,-27479.334,20000,scaled,nomig,linkedancestor,5percent,66
0,2.43429e-10,9.17081e-11,2108739,64174,3.6890566,3.7189671,-27419.68,-27411.155,20000,scaled,nomig,linkedancestor,5percent,67
0,1.7097e-10,5.08789e-10,2014860,85395,2.8708758,2.7567709,-27469.926,-27460.501,20000,scaled,nomig,linkedancestor,5percent,68
0,1.57582e-10,2.63561e-11,1961108,205716,1.1479532,1.1291285,-27361.579,-27354.96,20000,scaled,nomig,linkedancestor,5percent,69
0,1.34717e-10,1.37926e-10,2045600,56750,4.3009173,4.2089738,-27497.633,-27483.874,20000,scaled,nomig,linkedancestor,5percent,70
0,9.0888e-11,1.23807e-10,1938482,69465,3.5199726,3.4394322,-27518.537,-27513.539,20000,scaled,nomig,linkedancestor,5percent,71
0,4.86877e-11,2.5536e-10,1957056,72363,3.3957172,3.4060366,-27491.074,-27484.994,20000,scaled,nomig,linkedancestor,5percent,72
0,6.63005e-10,3.24771e-10,1899838,217480,1.1197132,1.0721496,-27349.519,-27339.766,20000,scaled,nomig,linkedancestor,5percent,73
0,3.32677e-10,6.46912e-11,2062440,103559,2.3323511,2.2425415,-27386.983,-27378.658,20000,scaled,nomig,linkedancestor,5percent,74
0,3.32911e-10,2.04146e-10,1808606,234645,1.0314698,1.0184377,-27334.461,-27324.587,20000,scaled,nomig,linkedancestor,5percent,75
0,7.92606e-11,3.24551e-11,2059930,56435,4.3918018,4.3523307,-27608.798,-27600.558,20000,scaled,nomig,linkedancestor,5percent,76
0,1.74878e-10,4.36226e-11,1981567,143200,1.640075,1.704255,-27404.891,-27396.315,20000,scaled,nomig,linkedancestor,5percent,77
0,9.71538e-11,3.01407e-11,2097887,54224,4.3892718,4.4048654,-27408.495,-27401.767,20000,scaled,nomig,linkedancestor,5percent,78
0,2.13249e-10,4.43139e-12,2099477,67241,3.5642429,3.4537839,-27350.458,-27340.41,20000,scaled,nomig,linkedancestor,5percent,79
0,2.13005e-10,2.98743e-10,1896668,138622,1.7473616,1.6813526,-27467.76,-27457.89,20000,scaled,nomig,linkedancestor,5percent,80
0,6.87213e-11,4.55957e-11,2071263,70977,3.364248,3.3397962,-27332.562,-27322.486,20000,scaled,nomig,linkedancestor,5percent,81
0,7.08425e-10,2.32631e-10,2044224,70520,3.3151037,3.467896,-27539.444,-27528.831,20000,scaled,nomig,linkedancestor,5percent,82
0,1.51748e-10,1.29256e-11,1988184,175156,1.369326,1.4369248,-27536.19,-27526.351,20000,scaled,nomig,linkedancestor,5percent,83
0,1.32391e-10,7.74316e-11,2065037,95419,2.5956519,2.4897458,-27491.378,-27482.955,20000,scaled,nomig,linkedancestor,5percent,84
0,2.37402e-10,1.65313e-10,2024132,87369,2.7598633,2.7622304,-27444.937,-27436.523,20000,scaled,nomig,linkedancestor,5percent,85
0,3.06016e-10,2.35733e-10,2016879,79891,3.143257,2.9194466,-27455.897,-27446.992,20000,scaled,nomig,linkedancestor,5percent,86
0,3.63439e-10,1.07767e-10,1995189,114205,2.1427665,2.0884436,-27482.412,-27473.842,20000,scaled,nomig,linkedancestor,5percent,87
0,2.34197e-10,2.35693e-10,2071771,70548,3.3085783,3.3949806,-27343.611,-27334.803,20000,scaled,nomig,linkedancestor,5percent,88
0,2.06577e-10,1.9884e-10,2048033,71156,3.4438933,3.3677571,-27415.962,-27410.726,20000,scaled,nomig,linkedancestor,5percent,89
0,2.81641e-10,2.49086e-10,2067756,74659,3.2872068,3.1492457,-27483.258,-27472.899,20000,scaled,nomig,linkedancestor,5percent,90
0,5.52331e-11,5.9008e-11,2137904,66814,3.5792651,3.5815105,-27317.332,-27308.21,20000,scaled,nomig,linkedancestor,5percent,91
0,1.88272e-10,2.51285e-10,2001476,75840,3.145044,3.2710176,-27423.296,-27413.618,20000,scaled,nomig,linkedancestor,5percent,92
0,7.19707e-12,1.29249e-11,1949663,224183,1.0617094,1.0737836,-27372.816,-27365.886,20000,scaled,nomig,linkedancestor,5percent,93
