,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,1069595,41950,3.5687961,3.4241764,-30159.228,-30100.903,20000,scaled,nomig,linkedancestor,5percent,4
0,1018949,91022,1.6285673,1.5793178,-30134.548,-30079.917,20000,scaled,nomig,linkedancestor,5percent,5
0,1006434,84780,1.8142471,1.7255001,-30301.461,-30244.681,20000,scaled,nomig,linkedancestor,5percent,6
0,1049681,52940,2.7626211,2.8320099,-30224.083,-30169.832,20000,scaled,nomig,linkedancestor,5percent,7
0,1035159,71333,2.0857482,2.02381,-30107.46,-30046.328,20000,scaled,nomig,linkedancestor,5percent,8
0,1033524,77350,1.9078601,1.866435,-30144.259,-30090.463,20000,scaled,nomig,linkedancestor,5percent,9
0,1060373,45805,3.1917321,3.3221124,-30204.081,-30148.297,20000,scaled,nomig,linkedancestor,5percent,10
0,1068263,40483,3.609601,3.6310382,-30174.638,-30120.372,20000,scaled,nomig,linkedancestor,5percent,11
0,784141,331893,0.4483513,0.4303292,-30167.75,-30098.156,20000,scaled,nomig,linkedancestor,5percent,12
0,1070477,34059,4.394661,4.4361701,-30187.681,-30133.193,20000,scaled,nomig,linkedancestor,5percent,13
0,1064384,41592,3.502965,3.5539758,-30122.409,-30055.035,20000,scaled,nomig,linkedancestor,5percent,14
0,1068145,40939,3.6898182,3.6465715,-30190.474,-30131.046,20000,scaled,nomig,linkedancestor,5percent,15
0,1059517,35826,4.1417291,4.1348196,-30180.532,-30125.518,20000,scaled,nomig,linkedancestor,5percent,16
0,1035859,49972,3.0159672,3.0087119,-30279.325,-30215.04,20000,scaled,nomig,linkedancestor,5percent,17
0,1053285,51692,2.8205508,2.8606693,-30189.848,-30133.18,20000,scaled,nomig,linkedancestor,5percent,18
0,922171,165263,0.8945828,0.9079416,-30215.566,-30158.689,20000,scaled,nomig,linkedancestor,5percent,19
0,1045331,46012,3.2069879,3.3225036,-30252.434,-30193.539,20000,scaled,nomig,linkedancestor,5percent,20
0,1038674,55853,2.6182242,2.6614916,-30262.981,-30218.972,20000,scaled,nomig,linkedancestor,5percent,21
0,1040364,48939,2.9812525,3.0808696,-30253.329,-30190.428,20000,scaled,nomig,linkedancestor,5percent,22
0,1053145,50832,2.9900764,2.8583445,-30225.559,-30164.198,20000,scaled,nomig,linkedancestor,5percent,23
0,1036778,54411,2.631356,2.7693534,-30267.652,-30224.643,20000,scaled,nomig,linkedancestor,5percent,24
0,1058545,39140,3.8665067,3.7086161,-30232.834,-30183.462,20000,scaled,nomig,linkedancestor,5percent,25
0,1029056,67838,2.2209914,2.214407,-30229.913,-30175.242,20000,scaled,nomig,linkedancestor,5percent,26
0,1046610,49666,3.1509655,2.9498483,-30246.312,-30188.076,20000,scaled,nomig,linkedancestor,5percent,27
0,1062478,42380,3.5290103,3.4647257,-30206.862,-30160.063,20000,scaled,nomig,linkedancestor,5percent,28
0,1060927,38897,3.838807,3.9023217,-30187.895,-30126.278,20000,scaled,nomig,linkedancestor,5percent,29
0,880866,212989,0.6960909,0.6999095,-30258.79,-30207.341,20000,scaled,nomig,linkedancestor,5percent,30
0,953176,158769,0.9318046,0.9061983,-30143.453,-30083.326,20000,scaled,nomig,linkedancestor,5percent,31
0,911677,200740,0.7232064,0.7428034,-30176.385,-30115.703,20000,scaled,nomig,linkedancestor,5percent,32
0,931542,165353,0.8943587,0.9031763,-30184.946,-30112.617,20000,scaled,nomig,linkedancestor,5percent,33
0,1063785,35977,4.0004565,4.158762,-30175.627,-30117.518,20000,scaled,nomig,linkedancestor,5percent,34
0,994596,120478,1.1960827,1.2626018,-30163.7,-30103.297,20000,scaled,nomig,linkedancestor,5percent,35
0,1078928,40028,3.7007452,3.5882492,-30079.554,-30022.33,20000,scaled,nomig,linkedancestor,5percent,36
0,1023008,69508,2.1607175,2.103689,-30176.23,-30105.93,20000,scaled,nomig,linkedancestor,5percent,37
0,1036865,56986,2.5303122,2.6036212,-30115.438,-30048.875,20000,scaled,nomig,linkedancestor,5percent,38
0,1026024,62658,2.3820922,2.3891018,-30308.012,-30257.413,20000,scaled,nomig,linkedancestor,5percent,39
0,918433,169243,0.890558,0.8784573,-30209.748,-30141.782,20000,scaled,nomig,linkedancestor,5percent,40
0,1047130,34132,4.478055,4.2779567,-30314.641,-30261.076,20000,scaled,nomig,linkedancestor,5percent,41
0,882498,221029,0.6738879,0.6568143,-30177.695,-30110.789,20000,scaled,nomig,linkedancestor,5percent,42
0,1071690,33978,4.3282984,4.3317751,-30202.252,-30151.219,20000,scaled,nomig,linkedancestor,5percent,43
0,1080431,41396,3.4619743,3.6147615,-30158.842,-30105.929,20000,scaled,nomig,linkedancestor,5percent,44
0,906439,198075,0.7580969,0.7697241,-30277.278,-30215.655,20000,scaled,nomig,linkedancestor,5percent,45
0,1058842,39310,3.7664074,3.7147772,-30204.362,-30155.79,20000,scaled,nomig,linkedancestor,5percent,46
0,1070927,34247,4.3710201,4.2365236,-30169.494,-30111.947,20000,scaled,nomig,linkedancestor,5percent,47
0,1003989,93796,1.5674587,1.577048,-30189.63,-30129.848,20000,scaled,nomig,linkedancestor,5percent,48
0,1026987,75069,2.0619947,1.9725047,-30311.585,-30270.131,20000,scaled,nomig,linkedancestor,5percent,49
0,1035509,60413,2.4528939,2.4504931,-30303.665,-30257.443,20000,scaled,nomig,linkedancestor,5percent,50
0,996580,107484,1.4028455,1.3811954,-30176.558,-30110.591,20000,scaled,nomig,linkedancestor,5percent,51
0,1046851,52741,2.8141754,2.7914102,-30197.151,-30137.814,20000,scaled,nomig,linkedancestor,5percent,52
0,1039705,57913,2.5270991,2.5708233,-30208.438,-30156.425,20000,scaled,nomig,linkedancestor,5percent,53
0,1042588,62617,2.3489355,2.3292076,-30223.997,-30176.903,20000,scaled,nomig,linkedancestor,5percent,54
0,1060214,50311,2.9201192,2.9539541,-30174.84,-30118.63,20000,scaled,nomig,linkedancestor,5percent,55
0,1045841,48219,3.1299094,3.1106503,-30237.504,-30181.532,20000,scaled,nomig,linkedancestor,5percent,56
0,1042171,51671,2.8869168,2.8322522,-30219.952,-30161.852,20000,scaled,nomig,linkedancestor,5percent,57
0,940436,161018,0.9220674,0.9272411,-30200.984,-30136.009,20000,scaled,nomig,linkedancestor,5percent,58
0,980712,110124,1.3600613,1.3499724,-30252.831,-30202.784,20000,scaled,nomig,linkedancestor,5percent,59
0,1014225,84507,1.7929826,1.7812345,-30228.423,-30175.418,20000,scaled,nomig,linkedancestor,5percent,60
0,1043004,46716,3.1526729,3.2374229,-30181.7,-30117.057,20000,scaled,nomig,linkedancestor,5percent,61
0,1066856,39407,3.7560399,3.6281522,-30093.985,-30021.119,20000,scaled,nomig,linkedancestor,5percent,62
0,1027083,68018,2.1315111,2.2212371,-30229.299,-30174.641,20000,scaled,nomig,linkedancestor,5percent,63
0,1041949,60199,2.5282037,2.4489652,-30224.654,-30174.433,20000,scaled,nomig,linkedancestor,5percent,64
0,1044368,44816,3.348957,3.2635193,-30222.187,-30163.501,20000,scaled,nomig,linkedancestor,5percent,65
0,1043653,46316,3.2565846,3.1804215,-30256.207,-30206.213,20000,scaled,nomig,linkedancestor,5percent,66
0,1060474,47054,3.2276883,3.1376291,-30204.548,-30142.527,20000,scaled,nomig,linkedancestor,5percent,67
